sku,row_type,name,brand,category,sheet,status,finding,caveat,facts_scored,copy_enriched,prose_words,bullets,spec_rows,spec_rows_informative,meta_len,has_short_desc,has_image,gallery_images,has_dimensions,model_number,status_published,import_evidence,supplier_sheet,research_file,finding_theme
IMS/MEC/00270,top,Disc Cube,SKYMSEN,Food Preparation > Processor Discs & Blades,,Complete,,,,1,89,4,6,4,116,1,1,0,0,GC16,published,,SKYMSEN (16),skymsen-research.md,
IMS/MEC/00271,top,Disc Z8,SKYMSEN,Food Preparation > Processor Discs & Blades,,Complete,,,,1,75,5,7,5,155,1,1,0,0,Z8,published,,SKYMSEN (16),skymsen-research.md,
IMS/MEC/00272,top,Disc Z5,SKYMSEN,Food Preparation > Processor Discs & Blades,,Complete,,,,1,67,5,7,5,148,1,1,0,0,Z5,published,,SKYMSEN (16),skymsen-research.md,
IMS/MEC/00273,top,Disc W4,SKYMSEN,Food Preparation > Processor Discs & Blades,,Complete,,,,1,69,5,7,5,152,1,1,0,0,W4,published,,SKYMSEN (16),skymsen-research.md,
IMS/MEC/00274,top,Disc H3,SKYMSEN,Food Preparation > Processor Discs & Blades,,Complete,,,,1,64,5,7,5,152,1,1,0,0,H3/EH3,published,,SKYMSEN (16),skymsen-research.md,
IMS/MEC/02131,top,Disc -E3,SKYMSEN,Food Preparation > Processor Discs & Blades,,Complete,,,,1,68,5,7,5,151,1,1,0,0,E3,published,,SKYMSEN (16),skymsen-research.md,
IMS/MEC/02319,top,Slicer Disc - 14MM,SKYMSEN,Food Preparation > Processor Discs & Blades,,Complete,,,,1,101,6,8,6,146,1,1,0,0,14MM,published,,SKYMSEN (16),skymsen-research.md,
IMG/FPR/00042,top,Vegetable Processor PA7,SKYMSEN,Food Preparation > Vegetable Processors,,Complete,,,,1,143,6,14,12,147,1,1,4,1,PA-7,published,,SKYMSEN (16),skymsen-research.md,
IMG/FPR/00130,top,Manual Vegetable Slicer Systematic JSCV-2200,SYSTEMATIC,Food Preparation > Vegetable Processors,FOOD PREPARATION,Complete,,thin listing,0,0,38,0,0,0,0,1,1,0,1,JSCV-2200,published,,,systematic-kayalar-research.md,
IMG/FPR/00131,top,Cheese Cuber Systematic JSCC-9,SYSTEMATIC,Food Preparation > Vegetable Processors,FOOD PREPARATION,Complete,,thin listing,0,0,30,0,0,0,0,1,1,0,1,JSCC-9,published,,,sap-reconciliation-research.md;systematic-kayalar-research.md,
IMG/FPR/00132,top,Vegetable Chopper and Dicer Systematic JSEC-08,SYSTEMATIC,Food Preparation > Vegetable Processors,FOOD PREPARATION,Complete,,thin listing,0,0,26,0,0,0,0,1,1,0,1,JSEC-08,draft,,,sap-reconciliation-research.md;systematic-kayalar-research.md,
IMG/FPR/00133,top,Lettuce Cutter Systematic JSVC2100,SYSTEMATIC,Food Preparation > Vegetable Processors,FOOD PREPARATION,Complete,,thin listing,0,0,32,0,0,0,0,1,1,0,1,JSVC2100,published,,,sap-reconciliation-research.md;systematic-kayalar-research.md,
IMG/FPR/00177,top,Vegetable Processor S-QC205,ASTAR,Food Preparation > Vegetable Processors,,Complete,,,,1,81,5,11,8,137,1,1,0,1,S-QC205,published,,,astar-research.md;henan-research.md,
IMG/FPR/00212,top,Root Vegetable Cutting Machine,HENAN,Food Preparation > Vegetable Processors,,Complete,,,,1,139,6,16,13,154,1,1,1,1,KL-100-6,published,,,henan-research.md,
IMG/FPR/00234,top,Salad and Vegetable Dryer 40 Lt 220V SY.40-09,EMPERO,Food Preparation > Vegetable Processors,,Complete,,,,1,71,4,10,7,157,1,1,0,1,SY.40-09,published,,EMPEROxx (7),empero-research.md,
IMG/FPR/00239,top,Commercial Vegetable Food Processor QC205A,KITCHENWARE,Food Preparation > Vegetable Processors,FOOD PREPARATION,Sources disagree,SAP 750 W vs 350 W (QC205) and 1000 W (QC205A),,,1,17,1,4,1,111,1,1,1,1,QC205A,published,,WANHUI (4),henan-research.md;kitchenware-research.md,Other spec value
IMG/FPR/00250,top,Assorted Blade 3PACK R301UD,ROBOT COUPE,Food Preparation > Processor Discs & Blades,FOOD PREPARATION,Sources disagree,Part number 2006 is not a Robot Coupe reference. Robot Coupe lists the serrated blades as 18565 and 18566. Confirm the actual part.,,,0,0,0,0,0,0,1,1,1,1,2006,archived,,"ROBOT COUPE (1), FOOD PROCESSORS (1)",robot-coupe-research.md;robot-coupe-sammic-zummo-research.md,Model code / identity
IMG/FPR/00018,top,Combination Processor R301,ROBOT COUPE,Food Preparation > Vegetable Processors,,Complete,,,,1,137,6,14,12,133,1,1,2,1,R301,published,,"ROBOT COUPE (1), FOOD PROCESSORS (1)",robot-coupe-research.md;robot-coupe-sammic-zummo-research.md,
IMG/FPR/00183,top,Cutter Mixer - ASKL-650,ASTAR,Food Preparation > Vegetable Processors,,Complete,,,,1,32,3,4,1,141,1,0,0,1,ASKL-650,draft,,,astar-research.md,
IMG/FPR/00110,top,Potato Chipper Table Top Kayalar,KAYALAR,Food Preparation > Potato Chippers,FOOD PREPARATION,Sources disagree,"photograph is a Waring spice grinder, not a potato chipper",,,1,80,3,5,2,156,1,1,0,0,153155040,published,KAYALARxx / Kayalar `153155040 (exact),KAYALARxx (4),systematic-kayalar-research.md;waring-research.md,Wrong photograph
IMS/MEC/00309,top,Male Blade for Chipper 10MM,SKYMSEN,Food Preparation > Potato Chippers,,Complete,,,,1,98,4,8,5,144,1,1,0,0,DAK,archived,,SKYMSEN (16),empero-research.md;skymsen-research.md,
IMS/MEC/00312,top,Female Blade for Chipper 10MM,SKYMSEN,Food Preparation > Potato Chippers,,Complete,,,,1,99,4,8,5,144,1,1,0,0,DAK,archived,,SKYMSEN (16),empero-research.md;skymsen-research.md,
IMG/FPR/00127,top,Potato Chipper on Stand Systematic JSPCC-08,SYSTEMATIC,Food Preparation > Potato Chippers,FOOD PREPARATION,Complete,,thin listing,6,0,0,7,0,0,0,1,1,0,1,JSPCC-08,published,,,skymsen-research.md;systematic-kayalar-research.md,
IMG/FPR/00050,top,Potato Smasher on Stand,SKYMSEN,Food Preparation > Potato Mashers,,Complete,,,,1,146,6,10,7,156,1,1,1,0,DAK,draft,,SKYMSEN (16),skymsen-research.md,
FAB/FPR/00241,top,Potato Peeler 50 Kg Sheffield,SHEFFIELD,Food Preparation > Potato Peelers,FOOD PREPARATION,Our records only,no external source published - written from our own records,,,1,141,6,12,9,124,1,1,0,0,PP50,published,,,empero-research.md,Other spec value
FAB/FPR/00315,top,Potato Peeler 25 Kg Sheffield,SHEFFIELD,Food Preparation > Potato Peelers,FOOD PREPARATION,Our records only,no external source published - written from our own records,,,1,141,6,12,9,124,1,1,0,0,PP25,published,,,empero-research.md,Other spec value
FAB/FPR/00372,top,Potato Peeler 15 Kg Sheffield,SHEFFIELD,Food Preparation > Potato Peelers,FOOD PREPARATION,Our records only,no external source published - written from our own records,,,1,141,6,12,9,124,1,1,0,0,PP15,published,,,empero-research.md,Other spec value
FAB/FPR/00435,top,Potato Peeler 10 Kg Sheffield,SHEFFIELD,Food Preparation > Potato Peelers,FOOD PREPARATION,Our records only,no external source published - written from our own records,,,1,141,6,11,8,124,1,1,0,0,PP10,published,,,empero-research.md,Other spec value
FAB/FPR/00458,top,Potato Peeler 30 Kg Sheffield,SHEFFIELD,Food Preparation > Potato Peelers,FOOD PREPARATION,Our records only,no external source published - written from our own records,,,1,141,6,11,8,124,1,1,0,0,PP30,published,,,empero-research.md,Other spec value
IMG/FPR/00008,top,Potato Peeler 20 Kg Empero,EMPERO,Food Preparation > Potato Peelers,,Complete,,,,1,84,5,10,7,128,1,1,1,1,PS.09,published,,EMPEROxx (7),empero-research.md,
IMG/FPR/00048,top,Potato Peeler 25KG Skymsen,SKYMSEN,Food Preparation > Potato Peelers,,Complete,,,,1,141,6,14,12,145,1,1,1,1,DB-25HD,published,,SKYMSEN (16),skymsen-research.md,
