sku,live_id,name,missing_concepts,numbers_only_on_live
IMG/FPR/00042,731,"Vegetable Processor PA7",,"450,320,300,400,438,25,110,24.5"
IMG/FPR/00177,733,"Vegetable Processor S-QC205",capacity,"535,270,525,400,510,1047,350,19"
IMG/FPR/00239,1121,"Commercial Vegetable Food Processor QC20",voltage/power,"220,50,350"
FAB/FPR/00372,736,"Potato Peeler 15 Kg Sheffield",,"10,350,450"
IMG/FPR/00008,1332,"Potato Peeler 20 Kg Empero",capacity,"380,20"
IMG/FPR/00048,1224,"Potato Peeler 25KG Skymsen",,"110,60,670,550,1155,45,64"
IMG/FPR/00046,1197,"Meat Slicer Ø 300MM",,"25,033,60,127,27.00,31.50"
IMG/FPR/00253,1235,"Bone Sawer JG210",,"15,180,400,436,45"
IMG/FPR/00051,398,"Bone Saw Free Standing SI-282HD",,"835,800,1675,240,50"
IMG/FPR/00184,403,"Manual Hamburger Press 130",,"450,370,350"
IMG/HOT/00196,405,"Tumble Marinator",,"991,635,914"
IMG/FPR/00231,1068,"Vacuum Packing Machine DZ300",capacity,220
IMG/FPR/00232,1069,"Vacuum Packing Machine DZ400",capacity,"10,20,540,490,500,65"
FAB/DIS/00007,675,"Meat Display Counter 1500","voltage/power,insulation","1490,1245"
FAB/DIS/00010,676,"Meat Display Counter 2000","voltage/power,insulation",1245
IMG/FPR/00034,640,"Blender Kitchen SS",,"260,275,630,3500"
IMG/FPR/00038,643,"Blender Kitchen 25 Litres SS",,"1180,3500,10"
IMG/FPR/00217,1064,"Hand Immersion Blender 350W H-Kitchen","net weight,voltage/power","300,240,50,4000,16000,220,110,60"
IMG/FPR/00218,1066,"Hand Immersion Blender 500W H-Kitchen",,"4000,16000,110,400"
IMG/FPR/00221,1065,"Immersion Blender Tube 400 Mm","net weight,voltage/power","350,240,50,4000,16000,220,110,60"
IMG/FPR/00227,1032,"Immersion Blender CMP 400 VV",,"120,5000,10000,15,16"
IMG/FPR/00228,1031,"Immersion Blender CMP 300 VV",,"240,2300,9600,15"
IMG/FPR/00274,1199,"Kitchen Blender with Soundproof Cover","voltage/power,capacity","50,2200,9850"
IMG/BUF/00129,102,"Juice Dispenser 3 Tank LSP-18X3",compressor,"470,740,475"
IMG/BUF/00130,103,"Juice Dispenser 2 Tank LSP-18X2",compressor,"510,470,740,39"
IMG/BUF/00151,105,"Juice Dispenser 2 Tank 34-2A Santos",voltage/power,"380,430,545,260,230,50"
IMG/BUF/00152,106,"Juice Dispenser 3 Tank 34-3A Santos",voltage/power,"570,430,545,260,230,50"
IMG/FPR/00027,658,"Juice Extractor Centrifugal Santos 68",,"1300,3000,140,02,79"
IMG/FPR/00040,660,"Juice Extractor Centrifugal Skymsen CSE",,"280,480,680,3500"
IMG/FPR/00079,653,"Orange Juicer Z06A-N",,"548,431,811,220,120"
IMG/ICE/00019,662,"Milk Shake Mixer Single Skymsen",,"210,150,470,15000"
IMG/REF/00032,35,"Upright Glass Door Chiller Single 7008 B","insulation,castors",
IMG/REF/00034,45,"Counter Chiller 9007 Blueline","insulation,castors",124
IMG/REF/00036,48,"Counter Chiller 1407 Blueline","insulation,castors",
IMG/REF/00037,49,"Counter Chiller 1807 Blueline","insulation,castors",
IMG/REF/00041,60,"Barline Chiller 2207 Blueline","insulation,castors",
IMG/REF/00042,1340,"Upright Solid Door Dual Chiller Freezer ","climate class,gross weight,castors","537,195,210,134,404,220,240,2010"
IMG/REF/00043,379,"Drawer Counter Chiller 6 Drawers 1800 Bl","climate class,gross weight,net weight,capacity","1800,220,240,134,268,123,138"
IMG/REF/00044,36,"Upright Solid Door Chiller 1 Door Blueli","insulation,castors",
IMG/REF/00057,78,"Blast Chiller 5 Trays DGD",shelves,
IMG/REF/00060,232,"Upright Solid Door Chiller 2 Door DGD AF",refrigerant,"800,2030,1420,230,40,452"
IMG/REF/00062,230,"Upright Solid Door Chiller 1 Door DGD AF",,"800,2030,40"
IMG/REF/00095,38,"Upright Solid Door Chiller 2 Door Blueli","insulation,castors","830,2010,1480,1400"
IMG/REF/00097,37,"Upright Glass Door Chiller Double 1408 B","insulation,castors",
IMG/REF/00099,381,"Drawer Counter Chiller 8 Drawers 2200 Bl","climate class,gross weight,net weight,capacity","700,650,220,240,134,362,170,190"
IMG/REF/00102,50,"Counter Chiller 2207 Blueline GN4100TN","insulation,castors",
IMG/REF/00105,53,"Barline Chiller 1207 Blueline GN2100TNG-","insulation,castors",294
IMG/REF/00106,56,"Barline Chiller 1507 Blueline GN2100TNG-","insulation,castors",390
IMG/REF/00107,58,"Barline Chiller 1807 Blueline GN3100TNG","insulation,castors",
IMG/REF/00144,55,"Barline Chiller 1207 Blueline","insulation,castors",
IMG/REF/00155,59,"Barline Chiller 2206 Blueline","insulation,castors",
IMG/REF/00160,54,"Barline Chiller 1406 Blueline","insulation,castors",
