sku,brand,name,status,ready,structure_fails,data_fails,listing_fails
IMS/MEC/00270,SKYMSEN,Disc Cube,published,yes,,,
IMS/MEC/00271,SKYMSEN,Disc Z8,published,yes,,,
IMS/MEC/00272,SKYMSEN,Disc Z5,published,yes,,,
IMS/MEC/00273,SKYMSEN,Disc W4,published,yes,,,
IMS/MEC/00274,SKYMSEN,Disc H3,published,yes,,,
IMS/MEC/02131,SKYMSEN,Disc -E3,published,yes,,,
IMS/MEC/02319,SKYMSEN,Slicer Disc - 14MM,published,yes,,,
IMG/FPR/00042,SKYMSEN,Vegetable Processor PA7,published,yes,,,
IMG/FPR/00130,SYSTEMATIC,Manual Vegetable Slicer Systematic JSCV-2200,published,no,not house format; bullets outside 4-6; meta missing or over 160; short description outside 18-38 words; under 3 informative spec rows,,
IMG/FPR/00131,SYSTEMATIC,Cheese Cuber Systematic JSCC-9,published,no,not house format; bullets outside 4-6; meta missing or over 160; short description outside 18-38 words; under 3 informative spec rows,,
IMG/FPR/00132,SYSTEMATIC,Vegetable Chopper and Dicer Systematic JSEC-08,draft,no,not house format; bullets outside 4-6; meta missing or over 160; short description outside 18-38 words; under 3 informative spec rows,,
IMG/FPR/00133,SYSTEMATIC,Lettuce Cutter Systematic JSVC2100,published,no,not house format; bullets outside 4-6; meta missing or over 160; short description outside 18-38 words; under 3 informative spec rows,,
IMG/FPR/00177,ASTAR,Vegetable Processor S-QC205,published,yes,,,
IMG/FPR/00212,HENAN,Root Vegetable Cutting Machine,published,yes,,,
IMG/FPR/00234,EMPERO,Salad and Vegetable Dryer 40 Lt 220V SY.40-09,published,yes,,,
IMG/FPR/00239,KITCHENWARE,Commercial Vegetable Food Processor QC205A,published,no,,sources disagree,
IMG/FPR/00250,ROBOT COUPE,Assorted Blade 3PACK R301UD,archived,no,not house format; under 2 paragraphs; bullets outside 4-6; meta missing or over 160; short description outside 18-38 words; under 3 informative spec rows,sources disagree,
IMG/FPR/00018,ROBOT COUPE,Combination Processor R301,published,yes,,,
IMG/FPR/00183,ASTAR,Cutter Mixer - ASKL-650,draft,no,under 2 paragraphs; bullets outside 4-6; under 3 informative spec rows,,no image
IMG/FPR/00110,KAYALAR,Potato Chipper Table Top Kayalar,published,no,bullets outside 4-6; short description outside 18-38 words; under 3 informative spec rows,sources disagree,
IMS/MEC/00309,SKYMSEN,Male Blade for Chipper 10MM,archived,yes,,,
IMS/MEC/00312,SKYMSEN,Female Blade for Chipper 10MM,archived,yes,,,
IMG/FPR/00127,SYSTEMATIC,Potato Chipper on Stand Systematic JSPCC-08,published,no,not house format; under 2 paragraphs; bullets outside 4-6; meta missing or over 160; short description outside 18-38 words; under 3 informative spec rows,,
IMG/FPR/00050,SKYMSEN,Potato Smasher on Stand,draft,yes,,,
FAB/FPR/00241,SHEFFIELD,Potato Peeler 50 Kg Sheffield,published,no,,our records only,
FAB/FPR/00315,SHEFFIELD,Potato Peeler 25 Kg Sheffield,published,no,,our records only,
FAB/FPR/00372,SHEFFIELD,Potato Peeler 15 Kg Sheffield,published,no,,our records only,
FAB/FPR/00435,SHEFFIELD,Potato Peeler 10 Kg Sheffield,published,no,,our records only,
FAB/FPR/00458,SHEFFIELD,Potato Peeler 30 Kg Sheffield,published,no,,our records only,
IMG/FPR/00008,EMPERO,Potato Peeler 20 Kg Empero,published,yes,,,
IMG/FPR/00048,SKYMSEN,Potato Peeler 25KG Skymsen,published,yes,,,
IMG/FPR/00105,SAMMIC,Potato Peeler 20KG P120 Sammic,archived,yes,,,
IMG/FPR/00246,SKYMSEN,"Potato Peeler with Door, Stainless Steel 10KG",published,yes,,,
IMG/FPR/00046,HK-REDLINE,Meat Slicer Ø 300MM,published,no,,sources disagree; named in open issues,
IMG/FPR/00179,HK-REDLINE,Meat Slicer Ø 250MM,published,yes,,,
IMG/FPR/00164,ASTAR,Meat Grinder 22 Model TK -22,published,no,,sources disagree,
IMG/FPR/00178,ASTAR,Meat Grinder 42 Model TC-42,published,yes,,,
IMG/FPR/00181,ASTAR,Meatball Making Machine,published,no,,sources disagree,
IMG/FPR/00215,SKYMSEN,Meat Slicer 300,published,yes,,,
IMG/FPR/00251,HK-REDLINE,Meat Mincer TC-22,published,yes,,,
IMG/FPR/00252,HK-REDLINE,Meat Mincer JT32,published,yes,,,
IMG/FPR/00253,HK-REDLINE,Bone Sawer JG210,published,no,,sources disagree,
IMG/FPR/00254,HK-REDLINE,Bone Sawer JG310,published,no,,sources disagree,
IMG/FPR/00255,HK-REDLINE,Bone Sawer HLS-2400,published,no,short description outside 18-38 words; under 3 informative spec rows,,
IMG/FPR/00906,SHEFFIELD,Bone Saw Blade 1650MM,archived,no,not house format; under 2 paragraphs; bullets outside 4-6; meta missing or over 160; short description outside 18-38 words; under 3 informative spec rows,no supplier data,no image
IMG/FPR/00051,SKYMSEN,Bone Saw Free Standing SI-282HD,published,yes,,,
IMG/FPR/00184,ASTAR,Manual Hamburger Press 130,published,yes,,,
IMG/FPR/00180,ASTAR,Electric Sausage Stuffer,published,no,,sources disagree,
IMG/HOT/00196,ASTAR,Tumble Marinator,published,no,under 3 informative spec rows,,
IMG/FPR/00231,OEM SHEFFIELD,Vacuum Packing Machine DZ300,published,no,,sources disagree; named in open issues,
IMG/FPR/00232,OEM SHEFFIELD,Vacuum Packing Machine DZ400,published,no,,sources disagree; named in open issues,
IMG/FPR/00012,HK-REDLINE,Chopping Board Blue,published,yes,,,
IMG/FPR/00014,HK-REDLINE,Chopping Board White,published,yes,,,
IMG/FPR/00015,HK-REDLINE,Chopping Board Yellow,published,yes,,,
IMG/FPR/00080,SHEFFIELD,Chopping Board Green,published,no,not house format; under 2 paragraphs; bullets outside 4-6; meta missing or over 160; short description outside 18-38 words; under 3 informative spec rows,our records only,
IMG/FPR/00277,H-KITCHEN,Chopping Block 600X600X100,published,no,bullets outside 4-6; short description outside 18-38 words; under 3 informative spec rows,,
IMG/FPR/00081,HK-REDLINE,Chopping Board Red,published,yes,,,
FAB/DIS/00007,SHEFFIELD,Meat Display Counter 1500,published,no,,our records only,
FAB/DIS/00010,SHEFFIELD,Meat Display Counter 2000,published,no,,our records only,
IMG/FPR/00022,SANTOS,Blender Bar 1.25 Litres Santos 33E,published,yes,,,
IMG/FPR/00023,SANTOS,Blender Kitchen 2+4 Litres Santos 37A,published,yes,,,
IMG/FPR/00034,SKYMSEN,Blender Kitchen SS,published,yes,,,
IMG/FPR/00038,SKYMSEN,Blender Kitchen 25 Litres SS,published,no,,sources disagree; named in open issues,
IMG/FPR/00093,SHEFFIELD,Brushless Commercial Blender,published,no,not house format; under 2 paragraphs; bullets outside 4-6; bullet over 14 words; meta missing or over 160; short description outside 18-38 words; under 3 informative spec rows,our records only,
IMS/MEC/01890,NINGBO,Complete Jug Set for Brushless Blender,archived,no,not house format; under 2 paragraphs; bullets outside 4-6; meta missing or over 160; short description outside 18-38 words; under 3 informative spec rows,no supplier data,no image
IMG/FPR/00169,SKYMSEN,Blender Bar 2 Litres Skymsen,published,yes,,,
